ID,EVENT_NAME,YEAR,DATE,DESCRIPTION,LOCATION_NAME,ADDRESS,LATITUDE,LONGITUDE,SOURCE_NAME,SOURCE_LINK,PEOPLE,TAGS
1,Alexander Graham Bell moves to the South End,1872,,"A few years later, in 1872, a fascinating sidelight to the Walworth family story was added when a noteworthy new neighbor, the inventor Alexander Graham Bell, moved in a few doors down on Blackstone Square (to 35 West Newton Street, at the corner of Washington Street).",,"35 West Newton Street, Boston, MA",42.33893867,71.0739276,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
2,Caleb & Mary Walworth move to the South End,1867,,"In 1867 Caleb and his wife Mary moved to the South End, purchasing the commodious Italianate brownstone-faced house at 38 West Newton Street on Blackstone Square.",,"38 West Newton Street, Boston, MA",42.33901961,71.07419636,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
3,American Federation of Musicians buys 409 Mass Ave,1939,,"American Federation of Musicians (AFM) Local 535 buys 409 Mass. Ave. for its union hall. Chartered in 1915, the union's previous meeting place are upstairs at Charlie's Sandwich Shoppe and on Worcester St. Local 535 represents black musicians, while AFM Local 9 represents whites. The two unions don't merge until 1970. Local 535 is located at 56 St. Botolph St. until 1988.",,"409 Massachusetts Avenue, Boston, MA",42.34101072,71.08283219,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
4,Savoy Cafe moves to 410 Mass Ave,1943,,Savoy Cafe moves from 461 Columbus Ave to 410 Mass Ave. ,,"410 Massachusetts Avenue, Boston, MA",42.34146697,71.08233213,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
5,Savoy Cafe Closes and is turned into the Big M.,1956,,"In 1956, the Savoy closes and 410 Mass. Ave. becomes the Big M. In the 1950s, Bob and Dottie Morgan open a small restaurant - one counter, four stools, and a modest soul food menu - at Mud Kelly's ""Big M"" nightclub, 410 Mass. Ave. In the Sixties, they move to Columbus Ave. at Northampton St., becoming Bob The Chef's. About Mud Kelly, neighbor Mary DeLoach says he was a gangster and ""everyone loved him.""",,"410 Massachusetts Avenue, Boston, MA",42.341352,71.08241578,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
6,Savoy Cafe History,1940-1956,,"In the late 1940s, Dixieland bands perform here - traditional New Orleans jazz, not Dixieland jazz, according to Syvalia ""Val"" Hyman, president of the South End/Lower Roxbury Development Corporation. For future jazz columnist Nat Hentoff, raised in Jewish Dorchester, a Northeastern University student at the time, the Savoy is ""another institution of learning."" He writes about his experiences in Boston Boy (1986). He writes that the Savoy was also Malcolm X's favorite bar.",,"410 Massachusetts Avenue, Boston, MA",42.34143282,71.08230266,"COOL ""MASS AVE"" JAZZ FACTS: Crosstown Jazz ","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
7,Chicken Lane restaurant opens,1948,,"In 1948, Syvalia Hyman, Sr. opens his second Chicken Lane restaurant on the ground floor of 424 Mass. Ave. (open 4 p.m. to 4 a.m.) Son Val describes Chicken Lane as a ""typical New England restaurant."" - fried chicken, French fries, coleslaw, fried fish, pork chops, and sweet potatoes. Val, born at 159 W. Springfield St., a student at English High School, washes dishes at his father's first restaurant and after 1952 delivers food from Chicken Lane to the employees of Crosstown clubs, crediting this experience to launching his interest in jazz soon after. Chicken Lane is the favorite meeting place of Boston Black Muslims, who in 1953 number six. ""Mr. Hyman was always very kind, respectful and considerate of the Muslims,"" notes a history of Temple No. 11, ""allowing them to congregate at his restaurant and to talk to and teach Islam to the people entering the establishment.""",,"424 Massachusetts Avenue, Boston, MA",42.34109809,71.082034,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
8,Eddie Levine opens a nightclub,1947,,"In 1947, Eddie Levine's nightclub opens at 425 Mass. Ave. (Levine had opened Little Harlem at 428 Mass. Ave. ten years earlier). Among famous performers at Eddy Levine's are torch singer Pat Rainey, daughter of prominent attorney Julian D. Rainey. Also Gene Walcott, (later Minister Louis Farrakhan), a graduate of the Sherwin School in Roxbury and English High School on Montgomery St. (where he runs track) who, during Eddy Levine's calypso period 1953-1954, is the violinist and calypso singer known as ""The Charmer.""",,"425 Massachusetts Avenue, Boston, MA",42.34076991,71.08232976,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
9,Eddie Levine's closes and is replaced by the Wigwam,1959,,"As a result of licensing problems, Eddy Levine's closes by 1959 and is replaced by the Wigwam. The Wigwam sports a teepee on top of its storefront [Vacca].",,"425 Massachusetts Avenue, Boston, MA",42.34074161,71.08230163,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
10,Wally's Paradise becomes Wally's Cafe Jazz Club and moves,1979,,"In the 1960s, Wally's Paradise becomes Wally's Cafe jazz club, moving across the street to 427 Mass Ave. in 1979. In its heyday, Errol Garner, Ahmad Jamal, Oscar Peterson, Charlie Parker, Coleman Hawkins, and Wynton and Branford Marsalis perform there - some say Billie Holiday too.",,"427 Massachusetts Avenue, Boston, MA",42.34066602,71.08226761,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
